vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,532,HP6206,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc0,1,31.22422992
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,549,HP6208,DEBRIEF,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,1,48.72861646
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,533,HP6204,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc2,1,13.99021764
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,539,HP6202A,SUPPLY/EQUIPMENT STORAGE,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92f9,1,30.39075084
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,540,HP6202,MANIKIN PREP,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92fb,1,22.53269155
623,HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,537,HP6210,PREBRIEF,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92ed,1,47.79197692
164,HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,110,HP3110Q,OFFICE,ca3b91b7-bf10-48e0-a639-693902af65e9-00310746,1,20
164,HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,96,HP3110M,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d5429,1,49.89027277
164,HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,97,HP3110N,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d542a,1,40
164,HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,163,HP3110R,OFFICE,a4a4aed8-5bcf-466e-8a97-51854c0bd956-003b1ed9,1,9.999999964
164,HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,98,HP3110P,OFFICE,20d7622d-978b-49e2-a948-380dc195da73-002d542c,1,29.79279766
407,HP4312A,AV CLO HP4312A,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46424,394,HP4002,EAST ATRIUM,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af0a,1,74.33173717
407,HP4312A,AV CLO HP4312A,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46424,376,HP4005,PUBLIC (STAIR),8df684a3-eb47-49ac-8d34-df8266b25986-004ce63c,1,88.17817259
