incidentradiation_all,roomnames_all,sunlighthours_all
0.0,HP3204,0.0
0.0,HP3202,0.0
73.169228,HP3306,208.849638
87.347982,HP3304,223.571023
0.0,HP4140D,0.0
151.441644,HP6367,261.75
39.328989,HP2306,107.030576
35.278242,HP2304,92.72482
0.0,HP3205,0.0
0.0,HP4202,0.0
103.515551,HP5209A,328.84375
23.761422,HP5209,50.840476
142.880826,HP4312,533.51264
75.402335,HP4310,206.442935
156.641151,HP3312,567.316071
79.931779,HP3310,235.332645
23.696128,HP3120W,22.75
74.272602,HP6100P,428.277778
0.0,HP4140H,0.0
0.0,HP4140E,0.0
110.849939,HP4110F,424.35
138.306546,HP5312,438.492126
26.512769,HP5205,108.795
0.0,HP6340,0.0
0.0,HP6204,0.0
0.0,HP6206,0.0
0.0,HP6356,0.0
0.0,HP6358,0.0
0.0,HP6360,0.208333
320.114571,HP6363,935.965278
0.0,HP6359,0.0
0.0,HP6357,0.0
0.0,HP6362,0.0
0.0,HP6355,0.0
0.0,HP6353,0.0
0.0,HP6351,0.0
0.0,HP6344,0.0
