roomnames,daylightfactor,standardeffectivetemperature,predictedmeanvote,generalcomfort,thermalstatusdryhumid,Level
HP4110P,2.633249,30.309636,0.134723,0.119635,0.035616,4
HP4110D,3.387749,30.303067,0.132653,0.119521,0.035502,4
HP4110Q,2.632457,30.309636,0.134723,0.119635,0.035616,4
HP4110C,0.001257,30.303067,0.132653,0.119521,0.035502,4
HP4120P,2.875284,30.303067,0.132653,0.119521,0.035502,4
HP4110R,0.001137,30.309636,0.134723,0.119635,0.035616,4
HP4110S,0.0,30.309636,0.134723,0.119635,0.035616,4
HP4110T,0.0,30.306209,0.133692,0.119521,0.035731,4
HP4110L,0.0,30.4018,0.1699,0.118721,0.042922,4
HP4110E,3.397535,30.303067,0.132653,0.119521,0.035502,4
HP4140FF,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140EE,3.317406,30.234997,0.106985,0.119977,0.029566,4
HP4140DD,3.319988,30.234997,0.106985,0.119977,0.029566,4
HP4140GG,3.293774,30.234997,0.106985,0.119977,0.029566,4
HP4120K,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4140HH,3.109161,30.234997,0.106985,0.119977,0.029566,4
HP4140CC,3.270774,30.234997,0.106985,0.119977,0.029566,4
HP4154D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C40AA,0.0,30.234997,0.106985,0.119977,0.029566,4
1942,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-ST-403,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C40A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4003,0.0,30.237161,0.107725,0.119749,0.029795,4
HP4005,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4130,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41E,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4100,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4017,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4101C,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4101B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4101D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4101A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4101,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C40BB,0.0,30.234997,0.106985,0.119977,0.029566,4
HP3302D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP3302E,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4308A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4304A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP3302I,9.6e-05,30.234997,0.106985,0.119977,0.029566,4
HP3302J,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4310A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4209,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4014,0.0,30.234997,0.106985,0.119977,0.029566,4
HP5221,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4002,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-ST-404,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C40B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41F,0.0,30.234997,0.106985,0.119977,0.029566,4
HP5226,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41D,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-C41B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4100B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4016,0.0,30.234997,0.106985,0.119977,0.029566,4
HP-EL-1,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4110Z,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4110B,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4005,0.0,30.675097,0.279287,0.119863,0.067808,4
HP4110UA,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4312A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4306A,0.0,30.234997,0.106985,0.119977,0.029566,4
HP4154B,0.0,30.234997,0.106985,0.119977,0.029566,4
